Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
LENOVO,IdeaPad 3 14ITL6,1080.0,1920.0,14.0,,,Intel Core i7,1165G7,512.0,8.0,Intel Iris Xe Graphics,,,328400,4
LENOVO,THINKPAD L13 YOGA G3 W10P,1200.0,1920.0,13.3,,IPS,AMD Ryzen 7,5875U,512.0,16.0,AMD Radeon Graphics,,,802400,4
LENOVO,THINKPAD L15 G3 W10P,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5675U,512.0,16.0,AMD Radeon Graphics,,,607100,4
LENOVO,,1080.0,1920.0,17.3,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,391600,4
LENOVO,,1080.0,1920.0,15.6,,TN,Intel Core i3,1005G1,256.0,4.0,Intel UHD Graphics,,,320400,4
LENOVO,IdeaPad 3 15ITL6,1080.0,1920.0,15.6,,IPS,Intel Pentium,7505,128.0,4.0,Intel UHD Graphics Xe G4 48EUs,,,220200,4
LENOVO,ThinkBook 14s Yoga G2 IAP,1080.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics G7 96EUs,,,885700,4
LENOVO,TP T15 G2,1080.0,1920.0,15.6,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,786800,4
LENOVO,ThinkPad T14 G2,1080.0,1920.0,14.0,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,729300,4
LENOVO,Laptop V15 G4,1080.0,1920.0,15.6,,TN,AMD Ryzen 3,7320U,256.0,8.0,AMD Radeon Graphics,,,370100,4
LENOVO,V15 G4,1080.0,1920.0,15.6,,TN,AMD Ryzen 3,7520U,512.0,16.0,AMD Radeon 610M Graphics,,,425100,4
LENOVO,ThinkPad L14 Gen 3,1080.0,1920.0,14.0,,,Intel Core i5,1235U,256.0,8.0,Intel Iris Xe Graphics G7,,,709100,4
LENOVO,ThinkPad T16,1200.0,1920.0,16.0,,,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,894100,4
LENOVO,ThinkPad T15,1080.0,1920.0,15.6,,IPS,Intel Core i7,1165G7,512.0,16.0,NVIDIA GeForce MX450,2.0,,1262500,4
LENOVO,ThinkPad X1 Nano G1,1350.0,2160.0,13.0,,IPS,Intel Core i7,1180G7,512.0,16.0,Intel Iris Xe Graphics,,,1283100,4
LENOVO,ThinkBook 14,1080.0,1920.0,14.0,,IPS,Intel Core i5,1235U,256.0,8.0,Intel Iris Xe Graphics G7 80EUs,,,538800,4
LENOVO,Ideapad Flex 5 15ALC05,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5500U,512.0,8.0,AMD Radeon Graphics,,,500500,4
