Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
ASUS,VivoBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1035G1,512.0,8.0,Intel UHD Graphics,,,286800,4
ASUS,ZenBook 13,1080.0,1920.0,13.3,,OLED,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,430000,4
ASUS,TUF Gaming A15,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,7735HS,512.0,16.0,NVIDIA GeForce RTX 4050,6.0,,742500,4
ASUS,VivoBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel UHD Graphics,,,365500,4
ASUS,VivoBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel UHD Graphics,,,330600,4
ASUS,Zenbook S,,,13.3,,OLED,Intel Core i5,1335U,512.0,16.0,Intel Iris Xe Graphics,,,775700,4
ASUS,VivoBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel UHD Graphics,,,277100,4
ASUS,Vivobook Go,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,7520U,512.0,8.0,AMD Radeon Graphics,,,275000,4
ASUS,Vivobook 17,1080.0,1920.0,17.3,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,414000,4
ASUS,Vivobook 17,1080.0,1920.0,17.3,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,403300,4
ASUS,VivoBook 16,,,16.0,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,250100,4
ASUS,VivoBook 16,,,16.0,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,243400,4
ASUS,VivoBook 16X,,,16.0,,IPS,AMD Ryzen 7,5800H,512.0,16.0,AMD Radeon Graphics,,,394400,4
ASUS,ExpertBook B1,1080.0,1920.0,15.6,,IPS,Intel Core i3,1215U,256.0,8.0,Intel UHD Graphics,,,314400,4
