Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,724100.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,515600.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,818100.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i7,1260P,1024.0,16.0,Intel Iris Xe Graphics,,,704600.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,627800.0,4
ASUS,TUF Gaming A15,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,1024.0,8.0,GeForce RTX 3060,6.0,,926900.0,4
ASUS,TUF Gaming A15,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,6800H,512.0,8.0,GeForce RTX 3050,4.0,,460100.0,4
ASUS,Expertbook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,452300.0,4
ASUS,Expertbook,1600.0,2560.0,14.0,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,660900.0,4
ASUS,Expertbook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics G7,,,578200.0,4
ASUS,Expertbook,1080.0,1920.0,14.0,,IPS,Intel Core i7,1260P,512.0,16.0,Intel Iris Xe Graphics,,,1406500.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i7,1260P,512.0,16.0,Intel UHD Graphics 730,,,838900.0,4
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i7,1260P,512.0,16.0,Intel Iris Xe Graphics,,,885100.0,4
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,706700.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,AMD Ryzen 5,5625U,500.0,16.0,AMD Radeon Graphics,,,550300.0,4
ASUS,ExperBook,1080.0,1920.0,14.0,,IPS,AMD Ryzen 5,5625U,256.0,8.0,AMD Radeon Graphics,,,464400.0,4
